+Test Batsmen------------+---------+--------+
| Rank | Name            | Country | Rating |
+------+-----------------+---------+--------+
| 1    | S.P.D. Smith    | AUS     | 929    |
| 2    | V. Kohli        | IND     | 912    |
| 3    | J.E. Root       | ENG     | 855    |
| 4    | K.S. Williamson | NZ      | 847    |
| 5    | D.A. Warner     | AUS     | 820    |
| 6    | C.A. Pujara     | IND     | 810    |
| 7    | D. Elgar        | SA      | 784    |
| 8    | A.K. Markram    | SA      | 759    |
| 9    | H.M. Amla       | SA      | 726    |
| 10   | L.D. Chandimal  | SL      | 716    |
+------+-----------------+---------+--------+
+Test Bowlers--------------+---------+--------+
| Rank | Name              | Country | Rating |
+------+-------------------+---------+--------+
| 1    | K. Rabada         | SA      | 897    |
| 2    | J.M. Anderson     | ENG     | 892    |
| 3    | V.D. Philander    | SA      | 845    |
| 4    | R.A. Jadeja       | IND     | 844    |
| 5    | R. Ashwin         | IND     | 803    |
| 6    | M. Morkel         | SA      | 800    |
| 6    | P.J. Cummins      | AUS     | 800    |
| 8    | T.A. Boult        | NZ      | 795    |
| 9    | H.M.R.K.B. Herath | SL      | 767    |
| 10   | N. Wagner         | NZ      | 765    |
+------+-------------------+---------+--------+
+Test Allrounders---------+---------+--------+
| Rank | Name             | Country | Rating |
+------+------------------+---------+--------+
| 1    |  Shakib Al Hasan | BAN     | 421    |
| 2    | R.A. Jadeja      | IND     | 391    |
| 3    | V.D. Philander   | SA      | 372    |
| 4    | R. Ashwin        | IND     | 368    |
| 5    | B.A. Stokes      | ENG     | 328    |
| 6    | Moeen Ali        | ENG     | 264    |
| 7    | P.J. Cummins     | AUS     | 249    |
| 8    | M.A. Starc       | AUS     | 248    |
| 9    | J.O. Holder      | WI      | 227    |
| 10   | K. Rabada        | SA      | 217    |
+------+------------------+---------+--------+
+ODI Batsmen--------------+---------+--------+
| Rank | Name             | Country | Rating |
+------+------------------+---------+--------+
| 1    | V. Kohli         | IND     | 909    |
| 2    | A.B. de Villiers | SA      | 844    |
| 3    | D.A. Warner      | AUS     | 823    |
| 4    | J.E. Root        | ENG     | 814    |
| 5    |  Babar Azam      | PAK     | 813    |
| 6    | R.G. Sharma      | IND     | 799    |
| 7    | L.R.P.L. Taylor  | NZ      | 785    |
| 8    | Q. de Kock       | SA      | 783    |
| 9    | F. du Plessis    | SA      | 782    |
| 10   | K.S. Williamson  | NZ      | 778    |
+------+------------------+---------+--------+
+ODI Bowlers------------+---------+--------+
| Rank | Name           | Country | Rating |
+------+----------------+---------+--------+
| 1    | J.J. Bumrah    | IND     | 787    |
| 2    |  Rashid Khan   | AFG     | 763    |
| 3    | J.R. Hazlewood | AUS     | 714    |
| 4    | Hasan Ali      | PAK     | 711    |
| 5    | T.A. Boult     | NZ      | 699    |
| 6    |  Imran Tahir   | SA      | 683    |
| 7    | K. Rabada      | SA      | 679    |
| 8    | C.R. Woakes    | ENG     | 673    |
| 9    | Y.S. Chahal    | IND     | 667    |
| 10   | M.A. Starc     | AUS     | 658    |
+------+----------------+---------+--------+
+ODI Allrounders----------+---------+--------+
| Rank | Name             | Country | Rating |
+------+------------------+---------+--------+
| 1    |  Shakib Al Hasan | BAN     | 360    |
| 2    |  Mohammad Hafeez | PAK     | 339    |
| 3    |  Mohammad Nabi   | AFG     | 324    |
| 4    | M.J. Santner     | NZ      | 317    |
| 5    | C.R. Woakes      | ENG     | 313    |
| 6    | A.D. Mathews     | SL      | 306    |
| 7    |  Rashid Khan     | AFG     | 298    |
| 8    | J.O. Holder      | WI      | 296    |
| 9    | Moeen Ali        | ENG     | 293    |
| 10   | B.A. Stokes      | ENG     | 283    |
+------+------------------+---------+--------+
+Twenty20 Batsmen----------+---------+--------+
| Rank | Name              | Country | Rating |
+------+-------------------+---------+--------+
| 1    |  Babar Azam       | PAK     | 881    |
| 2    | C. Munro          | NZ      | 801    |
| 3    | G.J. Maxwell      | AUS     | 799    |
| 4    | A.J. Finch        | AUS     | 763    |
| 5    | E. Lewis          | WI      | 753    |
| 6    | M.J. Guptill      | NZ      | 747    |
| 7    | A.D. Hales        | ENG     | 679    |
| 8    | V. Kohli          | IND     | 670    |
| 9    |  Mohammad Shahzad | AFG     | 659    |
| 10   | H. Masakadza      | ZIM     | 648    |
+------+-------------------+---------+--------+
+Twenty 20 Bowlers------+---------+--------+
| Rank | Name           | Country | Rating |
+------+----------------+---------+--------+
| 1    |  Rashid Khan   | AFG     | 813    |
| 2    |  Shadab Khan   | PAK     | 733    |
| 3    | Y.S. Chahal    | IND     | 706    |
| 4    | I.S. Sodhi     | NZ      | 700    |
| 5    | S. Badree      | WI      | 674    |
| 6    | M.J. Santner   | NZ      | 665    |
| 7    |  Imran Tahir   | SA      | 650    |
| 8    |  Mohammad Nabi | AFG     | 638    |
| 9    |  Imad Wasim    | PAK     | 637    |
| 10   | J.J. Bumrah    | IND     | 609    |
+------+----------------+---------+--------+
+Twenty20 Allrounders--------+---------+--------+
| Rank | Name                | Country | Rating |
+------+---------------------+---------+--------+
| 1    | G.J. Maxwell        | AUS     | 390    |
| 2    |  Mohammad Nabi      | AFG     | 322    |
| 3    |  Shakib Al Hasan    | BAN     | 279    |
| 4    | J-P. Duminy         | SA      | 235    |
| 5    | M.N. Samuels        | WI      | 230    |
| 6    | N.L.T.C. Perera     | SL      | 214    |
| 7    |  Mahmudullah        | BAN     | 212    |
| 8    |  Samiullah Shenwari | AFG     | 200    |
| 9    |  Shoaib Malik       | PAK     | 188    |
| 10   | S.K. Raina          | IND     | 161    |
+------+---------------------+---------+--------+
+Women' s ODI Batting-------+---------+--------+
| Rank | Name               | Country | Rating |
+------+--------------------+---------+--------+
| 1    | E.A. Perry         | AUS     | 744    |
